1,242,1,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
2,243,2,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
3,244,3,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
4,245,4,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
5,246,5,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
6,247,6,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
7,248,7,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
8,249,8,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
9,250,9,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
10,251,10,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
11,252,11,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
12,253,12,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
13,254,13,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
14,255,14,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
15,256,15,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
16,257,16,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
17,258,17,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
18,259,18,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
19,260,19,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
